138.44000000	138.44000000	5	1
139.44000000	139.44000000	6	 
617.52000000	617.52000000	5	2
618.52000000	618.52000000	6	 
649.44000000	649.44000000	5	3
650.44000000	650.44000000	6	 
698.98000000	698.98000000	5	4
700.00000000	700.00000000	6	 
715.92000000	715.92000000	5	5
716.94000000	716.94000000	6	 
730.22000000	730.22000000	5	6
731.22000000	731.22000000	6	 
770.80000000	770.80000000	5	7
771.82000000	771.82000000	6	 
792.54000000	792.54000000	5	8
793.54000000	793.54000000	6	 
828.40000000	828.40000000	5	9
829.42000000	829.42000000	6	 
863.12000000	863.12000000	5	10
864.14000000	864.14000000	6	 
909.06000000	909.06000000	5	11
910.06000000	910.06000000	6	 
951.08000000	951.08000000	5	12
952.08000000	952.08000000	6	 
990.06000000	990.06000000	5	13
991.08000000	991.08000000	6	 
1028.02000000	1028.02000000	5	14
1029.02000000	1029.02000000	6	 
1050.42000000	1050.42000000	5	15
1051.42000000	1051.42000000	6	 
1113.30000000	1113.30000000	5	16
1114.30000000	1114.30000000	6	 
1145.78000000	1145.78000000	5	17
1146.78000000	1146.78000000	6	 
1198.02000000	1198.02000000	5	18
1199.02000000	1199.02000000	6	 
1225.88000000	1225.88000000	5	19
1226.90000000	1226.90000000	6	 
