89.30000000	89.30000000	5	1
90.30000000	90.30000000	6	 
512.60000000	512.60000000	5	2
513.62000000	513.62000000	6	 
539.32000000	539.32000000	5	3
540.34000000	540.34000000	6	 
550.14000000	550.14000000	5	4
551.14000000	551.14000000	6	 
568.22000000	568.22000000	5	5
569.22000000	569.22000000	6	 
582.56000000	582.56000000	5	6
583.56000000	583.56000000	6	 
612.58000000	612.58000000	5	7
613.60000000	613.60000000	6	 
643.42000000	643.42000000	5	8
644.42000000	644.42000000	6	 
678.32000000	678.32000000	5	9
679.34000000	679.34000000	6	 
709.84000000	709.84000000	5	10
710.86000000	710.86000000	6	 
743.10000000	743.10000000	5	11
744.10000000	744.10000000	6	 
775.38000000	775.38000000	5	12
776.40000000	776.40000000	6	 
802.72000000	802.72000000	5	13
803.74000000	803.74000000	6	 
831.12000000	831.12000000	5	14
832.14000000	832.14000000	6	 
858.92000000	858.92000000	5	15
859.92000000	859.92000000	6	 
892.44000000	892.44000000	5	16
893.44000000	893.44000000	6	 
920.40000000	920.40000000	5	17
921.42000000	921.42000000	6	 
956.80000000	956.80000000	5	18
957.82000000	957.82000000	6	 
979.84000000	979.84000000	5	19
980.86000000	980.86000000	6	 
