147.68000000	147.68000000	5	1
148.70000000	148.70000000	6	 
335.56000000	335.56000000	5	2
336.58000000	336.58000000	6	 
337.16000000	337.16000000	5	3
338.18000000	338.18000000	6	 
370.60000000	370.60000000	5	4
371.62000000	371.62000000	6	 
398.98000000	398.98000000	5	5
400.00000000	400.00000000	6	 
414.36000000	414.36000000	5	6
415.38000000	415.38000000	6	 
461.84000000	461.84000000	5	7
462.84000000	462.84000000	6	 
486.74000000	486.74000000	5	8
487.76000000	487.76000000	6	 
528.00000000	528.00000000	5	9
529.02000000	529.02000000	6	 
571.94000000	571.94000000	5	10
572.96000000	572.96000000	6	 
619.14000000	619.14000000	5	11
620.18000000	620.18000000	6	 
657.66000000	657.66000000	5	12
658.66000000	658.66000000	6	 
678.72000000	678.72000000	5	13
679.74000000	679.74000000	6	 
774.44000000	774.44000000	5	14
775.44000000	775.44000000	6	 
813.32000000	813.32000000	5	15
814.34000000	814.34000000	6	 
884.06000000	884.06000000	5	16
885.08000000	885.08000000	6	 
914.62000000	914.62000000	5	17
915.66000000	915.66000000	6	 
958.54000000	958.54000000	5	18
959.56000000	959.56000000	6	 
988.12000000	988.12000000	5	19
989.12000000	989.12000000	6	 
