247.50000000	247.50000000	5	1
248.52000000	248.52000000	6	 
452.06000000	452.06000000	5	2
453.06000000	453.06000000	6	 
509.40000000	509.40000000	5	3
510.42000000	510.42000000	6	 
545.72000000	545.72000000	5	4
546.74000000	546.74000000	6	 
575.18000000	575.18000000	5	5
576.18000000	576.18000000	6	 
589.46000000	589.46000000	5	6
590.48000000	590.48000000	6	 
631.06000000	631.06000000	5	7
632.08000000	632.08000000	6	 
659.78000000	659.78000000	5	8
660.80000000	660.80000000	6	 
700.86000000	700.86000000	5	9
701.86000000	701.86000000	6	 
736.26000000	736.26000000	5	10
737.28000000	737.28000000	6	 
784.48000000	784.48000000	5	11
785.50000000	785.50000000	6	 
827.68000000	827.68000000	5	12
828.70000000	828.70000000	6	 
868.72000000	868.72000000	5	13
869.74000000	869.74000000	6	 
923.00000000	923.00000000	5	14
924.00000000	924.00000000	6	 
946.54000000	946.54000000	5	15
947.56000000	947.56000000	6	 
984.00000000	984.00000000	5	16
985.02000000	985.02000000	6	 
1026.44000000	1026.44000000	5	17
1027.46000000	1027.46000000	6	 
1072.46000000	1072.46000000	5	18
1073.48000000	1073.48000000	6	 
1108.36000000	1108.36000000	5	19
1109.36000000	1109.36000000	6	 
