107.18000000	107.18000000	5	1
108.20000000	108.20000000	6	 
116.92000000	116.92000000	5	2
117.94000000	117.94000000	6	 
130.18000000	130.18000000	5	3
131.18000000	131.18000000	6	 
161.06000000	161.06000000	5	4
162.06000000	162.06000000	6	 
179.58000000	179.58000000	5	5
180.60000000	180.60000000	6	 
192.46000000	192.46000000	5	6
193.50000000	193.50000000	6	 
220.34000000	220.34000000	5	7
221.34000000	221.34000000	6	 
243.90000000	243.90000000	5	8
244.92000000	244.92000000	6	 
269.44000000	269.44000000	5	9
270.44000000	270.44000000	6	 
293.08000000	293.08000000	5	10
294.10000000	294.10000000	6	 
323.12000000	323.12000000	5	11
324.12000000	324.12000000	6	 
346.88000000	346.88000000	5	12
347.90000000	347.90000000	6	 
370.04000000	370.04000000	5	13
371.06000000	371.06000000	6	 
392.02000000	392.02000000	5	14
393.02000000	393.02000000	6	 
411.46000000	411.46000000	5	15
412.48000000	412.48000000	6	 
448.26000000	448.26000000	5	16
449.30000000	449.30000000	6	 
481.92000000	481.92000000	5	17
482.92000000	482.92000000	6	 
518.50000000	518.50000000	5	18
519.50000000	519.50000000	6	 
539.70000000	539.70000000	5	19
540.72000000	540.72000000	6	 
