151.98000000	151.98000000	5	1
153.00000000	153.00000000	6	 
157.70000000	157.70000000	5	2
158.70000000	158.70000000	6	 
172.22000000	172.22000000	5	3
173.24000000	173.24000000	6	 
204.98000000	204.98000000	5	4
205.98000000	205.98000000	6	 
229.10000000	229.10000000	5	5
230.12000000	230.12000000	6	 
244.92000000	244.92000000	5	6
245.94000000	245.94000000	6	 
281.26000000	281.26000000	5	7
282.28000000	282.28000000	6	 
298.20000000	298.20000000	5	8
299.22000000	299.22000000	6	 
328.70000000	328.70000000	5	9
329.72000000	329.72000000	6	 
351.66000000	351.66000000	5	10
352.68000000	352.68000000	6	 
385.72000000	385.72000000	5	11
386.74000000	386.74000000	6	 
412.12000000	412.12000000	5	12
413.14000000	413.14000000	6	 
432.36000000	432.36000000	5	13
433.38000000	433.38000000	6	 
462.02000000	462.02000000	5	14
463.04000000	463.04000000	6	 
482.04000000	482.04000000	5	15
483.06000000	483.06000000	6	 
515.54000000	515.54000000	5	16
516.56000000	516.56000000	6	 
549.28000000	549.28000000	5	17
550.30000000	550.30000000	6	 
587.02000000	587.02000000	5	18
588.02000000	588.02000000	6	 
606.66000000	606.66000000	5	19
607.68000000	607.68000000	6	 
