102.72000000	102.72000000	5	1
103.74000000	103.74000000	6	 
431.54000000	431.54000000	5	2
432.56000000	432.56000000	6	 
437.96000000	437.96000000	5	3
438.98000000	438.98000000	6	 
455.58000000	455.58000000	5	4
456.58000000	456.58000000	6	 
476.34000000	476.34000000	5	5
477.36000000	477.36000000	6	 
491.14000000	491.14000000	5	6
492.16000000	492.16000000	6	 
518.54000000	518.54000000	5	7
519.54000000	519.54000000	6	 
555.14000000	555.14000000	5	8
556.16000000	556.16000000	6	 
582.84000000	582.84000000	5	9
583.86000000	583.86000000	6	 
624.82000000	624.82000000	5	10
625.86000000	625.86000000	6	 
653.22000000	653.22000000	5	11
654.26000000	654.26000000	6	 
691.74000000	691.74000000	5	12
692.76000000	692.76000000	6	 
710.92000000	710.92000000	5	13
711.92000000	711.92000000	6	 
747.04000000	747.04000000	5	14
748.06000000	748.06000000	6	 
782.04000000	782.04000000	5	15
783.04000000	783.04000000	6	 
823.04000000	823.04000000	5	16
824.06000000	824.06000000	6	 
866.24000000	866.24000000	5	17
867.24000000	867.24000000	6	 
904.94000000	904.94000000	5	18
905.96000000	905.96000000	6	 
935.46000000	935.46000000	5	19
936.46000000	936.46000000	6	 
