456.42000000	456.42000000	5	1
457.46000000	457.46000000	6	 
468.48000000	468.48000000	5	2
469.48000000	469.48000000	6	 
508.86000000	508.86000000	5	3
509.86000000	509.86000000	6	 
532.30000000	532.30000000	5	4
533.30000000	533.30000000	6	 
539.72000000	539.72000000	5	5
540.74000000	540.74000000	6	 
544.80000000	544.80000000	5	6
545.80000000	545.80000000	6	 
577.14000000	577.14000000	5	7
578.16000000	578.16000000	6	 
605.66000000	605.66000000	5	8
606.66000000	606.66000000	6	 
635.04000000	635.04000000	5	9
636.04000000	636.04000000	6	 
670.16000000	670.16000000	5	10
671.18000000	671.18000000	6	 
703.20000000	703.20000000	5	11
704.22000000	704.22000000	6	 
734.40000000	734.40000000	5	12
735.40000000	735.40000000	6	 
762.92000000	762.92000000	5	13
763.92000000	763.92000000	6	 
790.10000000	790.10000000	5	14
791.12000000	791.12000000	6	 
817.20000000	817.20000000	5	15
818.22000000	818.22000000	6	 
837.20000000	837.20000000	5	16
838.22000000	838.22000000	6	 
858.20000000	858.20000000	5	17
859.20000000	859.20000000	6	 
890.84000000	890.84000000	5	18
891.84000000	891.84000000	6	 
959.50000000	959.50000000	5	19
960.52000000	960.52000000	6	 
