139.82000000	139.82000000	5	1
140.84000000	140.84000000	6	 
817.76000000	817.76000000	5	2
818.78000000	818.78000000	6	 
833.48000000	833.48000000	5	3
834.48000000	834.48000000	6	 
853.78000000	853.78000000	5	4
854.80000000	854.80000000	6	 
885.20000000	885.20000000	5	5
886.22000000	886.22000000	6	 
896.24000000	896.24000000	5	6
897.26000000	897.26000000	6	 
915.82000000	915.82000000	5	7
916.84000000	916.84000000	6	 
944.34000000	944.34000000	5	8
945.34000000	945.34000000	6	 
963.02000000	963.02000000	5	9
964.04000000	964.04000000	6	 
990.78000000	990.78000000	5	10
991.80000000	991.80000000	6	 
1020.86000000	1020.86000000	5	11
1021.88000000	1021.88000000	6	 
1049.74000000	1049.74000000	5	12
1050.76000000	1050.76000000	6	 
1069.08000000	1069.08000000	5	13
1070.08000000	1070.08000000	6	 
1111.74000000	1111.74000000	5	14
1112.76000000	1112.76000000	6	 
1142.08000000	1142.08000000	5	15
1143.08000000	1143.08000000	6	 
1174.04000000	1174.04000000	5	16
1175.06000000	1175.06000000	6	 
1201.08000000	1201.08000000	5	17
1202.12000000	1202.12000000	6	 
1231.86000000	1231.86000000	5	18
1232.84000000	1232.84000000	6	 
1257.72000000	1257.72000000	5	19
1258.72000000	1258.72000000	6	 
