136.74000000	136.74000000	5	1
168.70000000	168.70000000	6	1end
187.58000000	187.58000000	5	2
212.52000000	212.52000000	6	2end
238.92000000	238.92000000	5	3
274.98000000	274.98000000	6	3end
325.00000000	325.00000000	5	4
383.72000000	383.72000000	6	4end
406.74000000	406.74000000	5	5
447.46000000	447.46000000	6	5end
472.84000000	472.84000000	5	6
508.12000000	508.12000000	6	6end

